lh_ROI1;lh_ROI2;lh_ROI3;lh_ROI4;lh_ROI5;lh_ROI6;lh_ROI7;lh_ROI8;lh_ROI9;lh_ROI10;lh_ROI11;lh_ROI12;lh_ROI13;lh_ROI14;lh_ROI15;lh_ROI16;lh_ROI17;rh_ROI1;rh_ROI2;rh_ROI3;rh_ROI4;rh_ROI5;rh_ROI6;rh_ROI7;rh_ROI8;rh_ROI9;rh_ROI10;rh_ROI11;rh_ROI12;rh_ROI13;rh_ROI14;rh_ROI15;rh_ROI16;rh_ROI17
-0.802871439;-0.230907589;-0.170349059;-0.332785074;-0.782960125;-0.249757623;1.597657942;0.47872136;-1.91962734;-0.15523748;0.063012284;-1.090024579;-0.988380949;-0.801664335;0.01946433;-0.465777757;-0.67444267;0.053770133;-0.644501352;-0.595223032;-0.715615127;-1.538047437;-1.090325238;1.085316797;0.795955815;-1.848888524;-0.127901421;0.385912008;-1.020194669;-0.796821093;-1.024002366;-0.277039943;-0.93218555;-0.712430254
0.336359297;-1.144037673;-0.081938147;0.179577547;0.374453664;0.51844988;-0.382331772;0.00144955;0.800040312;-0.303269178;-0.159612762;0.198763794;0.483718982;0.218638763;-0.376308756;-1.243514379;-0.824399558;-0.395993752;-0.27234561;-0.241336893;-0.414899414;0.075676688;0.720214742;-0.973292259;-0.749021275;0.690166598;-0.742615228;0.036067647;0.362067815;0.832144973;0.467940406;0.196829121;-0.998495937;-0.279994191
-0.751808096;-0.519983926;-1.4016429;-1.896945947;0.416085429;-0.591473102;0.865081844;-0.795630419;0.454120042;-0.686453221;0.153903512;-1.513756506;-0.684545182;-1.631502896;-1.563452972;-1.688357204;-0.850752716;-0.285732023;-0.526640394;-1.542778371;-2.089968661;-0.751593612;-2.256139468;-0.380125566;-0.908118365;0.84097576;-0.411283952;0.846946774;-2.01940159;-0.55789704;-1.012027639;-1.85641436;-2.198121616;-1.118209295
-0.86616279;-0.81031535;0.356630949;-1.05229707;-1.48311614;-0.994854728;-1.170457778;-0.052912003;-1.811425216;-1.522457953;-1.687421508;-1.668908628;-1.857568671;-1.808404719;-0.878465953;-0.41769203;-1.12636694;-2.563440967;-0.914401776;-1.781622639;-1.009119309;-1.442932546;-1.849781446;-1.315958021;-0.688148244;-1.597995378;-1.922005686;-0.790062748;-1.297533657;-0.885844053;-1.714626789;-1.099015672;0.436035087;-0.035972909
-1.729586374;-1.110417705;1.6925752;-0.605085273;-1.25473114;-0.766326221;-0.182276777;-1.775739825;0.938935792;-0.39933749;0.763560717;0.828665627;0.425606197;-1.521706195;-1.771711665;-1.640125234;-2.18979619;-0.831585193;-0.157130088;1.664703437;-0.27977353;-1.002704964;-1.322507789;-0.622829794;-1.531133946;1.483274786;-0.283047221;0.56503715;1.169308247;0.461401231;-1.366732012;-1.446756487;-1.299546414;-2.187806866
0.615944573;-1.076940971;0.564932578;1.766661413;0.937013798;0.511671559;1.005723664;-0.053668447;0.067461931;0.542350801;0.427968425;-0.114979325;0.28435136;-0.455808429;1.18383195;1.617779888;0.843315415;0.022088579;-1.49377115;0.858512306;0.514493395;0.095576292;-0.994470718;1.808005675;0.936633469;0.627381898;-0.302121122;0.267544357;-0.458566788;0.590070845;0.545419269;0.988993653;1.491903529;1.56561
-0.973376748;0.186628897;1.452936168;0.729711983;0.104220881;-0.299134692;0.056458001;-0.69057477;0.67356688;0.538135804;0.661916689;0.107170279;0.001105295;-0.534065722;2.108657559;2.016599185;1.540937362;-0.038303625;-0.006696114;1.592274355;1.156478862;0.798459286;0.586361542;1.878800997;1.16992929;0.986150453;1.105709672;0.416302922;-0.832097821;0.15148113;0.102907471;1.609561469;1.913633304;2.034146287
-0.738305461;-0.845670178;0.897835496;-0.332710919;0.074052966;0.276789656;1.405249295;0.540986919;-1.094145787;0.246211226;0.311946556;-0.23665449;-0.73305966;1.182489091;0.238603998;2.011589757;0.610293337;-1.097628505;-1.599963502;0.467629105;-0.682635895;-0.045673127;0.221718243;2.489978956;1.105350119;-1.353549603;-0.640210507;0.113881219;-0.603281406;-0.340188508;1.44668914;0.925301267;1.573080376;0.386190752
0.331083565;1.0722763;-0.185434053;0.427025571;0.044409952;0.560618381;0.140858785;1.220110885;1.091092408;0.606338418;0.113169018;1.191369054;1.978178889;0.206432195;-0.296398712;-0.918969673;-0.015342514;0.469929532;0.212788493;-0.409664793;0.495846736;-0.520394301;-0.323590682;-0.924216664;-0.45191323;0.46064845;-0.588168041;0.412127368;1.8368809;1.739903705;0.650794663;-0.379149455;-1.335806717;0.19342737
1.460982842;0.648173788;0.071999348;0.60874654;0.560383115;-0.035211567;0.700551073;-0.45009838;2.04002625;1.311652359;-0.058936425;0.948119919;-0.414317101;0.96515197;-0.24829721;-0.516776353;-0.239295079;1.743830645;0.615415854;0.884712926;0.390172966;0.223850419;0.038695441;0.161323063;-1.06465475;1.833288374;1.512423412;0.067290238;0.570482722;-0.310218972;0.46449766;-0.302664778;-0.167774968;-0.285601552
